"region"	"Persons 2022 0-5 years"	"Persons 2022 6-15 years"	"Persons 2022 16-19 years"	"Persons 2022 20-24 years"	"Persons 2022 25-29 years"	"Persons 2022 30-49 years"	"Persons 2022 50-59 years"	"Persons 2022 60-66 years"	"Persons 2022 67-69 years"	"Persons 2022 70-79 years"	"Persons 2022 80 years or older"
"03013617 Ulsrud"	80	190	47	53	47	351	166	95	29	82	65
"03013618 Søndre Trasop"	27	63	25	17	7	102	51	16	8	7	3
"03013619 Høyenhall sør"	164	310	96	99	143	700	279	136	60	192	176
"03013620 Høyenhall nord"	82	158	52	43	30	313	141	52	31	69	25
"03013621 Eftasåsen øst"	190	410	107	101	32	630	323	129	36	87	90
"03013622 Eftasåsen vest"	80	166	67	51	107	465	175	112	52	136	56
"03013623 Vetland vest"	108	153	47	54	131	531	216	92	29	69	50
"03013624 Vetland øst"	177	213	77	85	102	584	200	127	26	57	59
"03013701 Alfaset"	0	0	0	0	3	36	13	3	0	0	0
"03013702 Trosterud"	94	123	49	78	98	365	172	95	37	93	42
"03013703 Tveita"	110	106	31	58	138	591	208	119	43	138	131
"03013704 Karlstuen"	55	81	19	40	52	210	83	52	13	58	26
"03013705 Haugerud"	110	233	109	133	136	450	277	109	29	88	65
"03013706 Stordam"	15	38	14	10	10	62	40	22	3	13	8
"03013707 Nordre Trasop"	66	240	85	55	40	360	193	61	23	57	23
"03013708 Hellerud"	120	256	81	87	72	489	216	140	50	143	86
"03013709 Tørtberg"	0	3	0	0	3	3	9	0	0	3	0
"03013710 Lutvann"	0	0	0	0	0	0	3	0	0	0	0
"03013711 Østre Trasop"	15	48	7	6	6	64	19	3	0	3	4
"03013712 Stubberud"	0	0	3	0	3	17	8	0	0	6	0
"03013713 Trosterudlia"	35	56	21	29	27	189	62	34	9	21	7
"03013714 Østre Trosterud"	134	221	76	117	154	671	230	147	43	162	57
"03013715 Haukåsen"	160	287	111	109	145	664	231	143	36	193	50
"03013716 Solfjellet"	60	92	21	37	85	382	147	82	21	86	67
"03013717 Larsbråten"	97	74	30	20	22	224	87	50	12	48	39
"03013718 Trolldalen"	63	190	68	57	38	321	221	109	26	70	31
"03013719 Smalvoll"	0	0	0	0	0	0	0	0	0	0	0
"03013720 Lohøgda"	124	212	62	83	211	675	301	202	64	242	228
"03013721 Tveita senter"	54	56	14	17	21	119	29	24	8	53	36
"03013801 Nyland"	3	0	0	0	3	22	6	5	0	3	0
"03013802 Lindberglia"	83	160	71	66	87	315	81	29	12	15	7
"03013803 Søndre Lindberg"	89	183	74	99	85	425	195	100	40	106	75
"03013804 Lindebergåsen"	153	326	129	151	172	736	290	152	68	200	50
"03013805 Nordre Lindberg"	57	84	39	63	77	264	138	60	11	30	12
"03013806 Nordre Furuset"	95	147	78	82	82	370	163	74	27	65	23
"03013807 Søndre Furuset"	64	98	47	55	65	227	94	44	22	34	18
"03013808 Sørliløkka"	95	104	42	36	38	311	119	79	39	91	26
"03013809 Gransdalen"	113	230	114	107	109	459	205	99	46	110	45
"03013810 Sletten"	52	93	32	56	62	258	88	37	12	21	13
"03013811 Bakås"	156	213	79	99	106	524	214	153	70	229	59
"03013812 Ellingsrud"	87	191	59	36	31	319	135	67	30	44	3
"03013813 Ellingsrudåsen"	210	353	113	157	222	919	292	174	60	217	105
"03013814 Furuset stadion"	0	0	0	0	3	3	0	0	0	0	0
"03013815 Haugen"	109	172	84	65	97	476	158	110	38	78	37
"03013816 Kløftehagen"	90	165	56	57	70	334	152	98	40	131	29
"03013817 Skjønnhaug"	136	266	89	99	138	571	224	139	44	103	37
"03013818 Gran"	152	274	128	142	119	569	234	137	42	139	47
"03013819 Vestre Furuset"	116	229	96	90	110	423	177	107	31	91	61
"03013820 Bjørkheim"	72	185	72	76	78	296	142	72	30	77	18
"03013821 Skansen"	57	130	41	41	42	257	110	70	26	81	29
"03013901 Østre Romsås"	3	6	3	3	8	25	68	51	14	35	9
"03013902 Øvre Rommen"	28	43	24	48	42	132	74	32	16	24	17
"03013903 Tokerud"	194	411	189	190	208	717	318	176	52	261	103
"03013904 Vestli"	54	98	48	82	62	208	137	71	29	107	40
"03013905 Bånkall"	3	0	0	0	0	7	0	3	0	0	0
"03013906 Nedre Fossum"	205	340	129	146	192	717	288	127	33	134	66
"03013907 Stig"	177	304	143	155	178	751	313	165	53	126	66
"03013908 Stovnerskogen"	89	186	98	103	85	454	214	109	44	110	70
"03013909 Øvre Stovner"	106	174	91	110	85	375	282	112	47	200	129
"03013910 Vestre Høybråten"	108	223	128	117	98	525	247	135	34	98	52
"03013911 Karihaugen"	151	245	84	72	67	505	226	100	26	108	69
"03013912 Lundås"	29	57	29	35	25	170	74	33	14	17	5
"03013913 Østre Høybråten"	155	417	139	140	110	744	379	196	67	215	94
"03013914 Smedstua"	105	209	82	88	86	423	192	76	24	92	53
"03013915 Tangerud"	33	72	62	68	31	162	142	65	15	24	14
"03013916 Vestlidalen"	13	20	18	19	17	40	41	24	9	12	3
"03013917 Stovner senter"	186	290	119	155	170	715	307	166	76	160	98
"03013918 Øvre Fossum"	169	294	123	138	111	506	236	135	48	140	74
"03013919 Vestliberget"	173	316	131	169	181	597	307	158	47	217	89
"03013920 Vestliskogen"	74	127	53	78	73	280	161	108	37	97	58
"03013921 Forsheimer"	75	119	55	50	77	282	147	81	39	89	46
"03013922 Stasjonsfjellet"	97	156	85	101	76	389	229	84	44	121	75
"03013923 Stigenga"	24	51	29	26	20	102	52	29	13	46	18
"03014001 Rødtvet"	137	209	78	82	173	628	262	119	41	73	66
"03014002 Ammerudskogen"	181	320	98	115	101	683	287	151	38	141	72
"03014003 Ammerud"	72	161	71	77	106	399	164	91	32	57	63
"03014004 Øvre Kaldbakken"	111	161	61	72	147	580	221	106	35	112	87
"03014005 Nedre Kaldbakken"	14	21	6	8	12	45	20	7	0	0	0
"03014006 Flaen"	55	84	31	43	74	232	132	50	14	53	21
"03014007 Nedre Grorud"	128	268	122	147	136	595	317	143	52	124	35
"03014008 Nedre Rommen"	3	3	3	6	3	13	12	6	0	4	0
"03014009 Øvre Grorud"	124	184	63	99	158	607	321	163	37	103	56
"03014010 Vestre Romsås"	129	215	92	105	146	539	256	145	45	178	113
"03014011 Vestre Rommen"	3	19	10	10	3	34	14	7	0	10	0
"03014012 Bjøråsen"	102	293	101	140	113	580	348	164	56	191	63
"03014013 Svarttjern"	141	282	125	155	164	712	354	182	70	176	86
"03014014 Apalløkka"	97	134	55	55	60	373	146	89	25	67	32
"03014015 Ammerudgrenda"	114	188	62	81	104	424	213	150	53	97	74
"03014016 Ammerudkollen"	154	320	137	169	207	838	361	167	53	144	92
"03014017 Nordtvet"	95	91	32	45	109	425	111	82	34	61	37
"03014018 Grønlund"	142	184	76	85	138	578	183	110	36	66	77
"03014101 Øvre Disen"	128	227	94	84	74	432	204	94	37	81	53
"03014102 Tonsen"	127	151	44	47	137	517	122	63	25	68	121
"03014103 Tonsenhagen"	168	191	58	72	186	842	271	168	55	125	106
"03014104 Årvoll"	260	348	115	70	111	940	275	119	51	111	61
"03014105 Bjerkebanen"	0	3	0	0	0	0	3	0	0	0	0
"03014106 Refstad"	0	0	0	0	0	0	0	0	0	0	0
"03014107 Økern"	142	330	107	102	119	669	261	118	49	118	61
"03014108 Risløkka"	161	252	101	87	102	610	263	110	24	91	40
"03014109 Borrebekken"	175	271	112	129	203	758	274	137	44	103	49
"03014110 Vollebekk"	0	0	0	0	0	0	0	0	0	0	0
"03014111 Linderud"	88	155	54	73	101	339	153	73	23	79	84
"03014112 Veitvet"	93	166	73	79	122	406	127	61	18	70	38
"03014113 Sletteløkka"	198	308	120	154	226	804	264	118	22	52	59
"03014114 Sandås"	35	65	27	27	23	109	75	44	19	28	20
"03014115 Brobekk"	61	106	54	69	71	342	133	68	25	59	32
"03014116 Kolsåslia"	18	48	15	16	10	84	50	31	12	45	20
"03014117 Ymers vei"	9	27	5	3	7	32	11	6	3	3	3
"03014118 Sandbakken"	73	121	39	47	83	317	143	73	32	68	39
"03014119 Nedre Linderud"	83	185	60	53	69	313	72	32	16	52	28
"03014120 Veitvet vest"	68	140	82	70	84	399	129	81	18	40	21
"03014121 Veitvet senter"	145	260	84	91	98	555	221	116	29	75	20
"03014122 Bredtvet"	0	0	3	3	0	8	3	0	0	0	0
"03014123 Refstad sør"	305	292	71	165	386	1186	189	105	43	96	24
"03014124 Refstad nord"	124	238	74	145	176	650	251	102	32	133	43
"03014125 Vollebekk sør"	235	175	55	112	355	797	171	95	36	90	29
"03014126 Vollebekk nord"	55	132	39	63	55	265	99	60	20	75	45
"03014201 Ensjø"	0	0	0	0	0	0	0	0	0	0	0
"03014202 Valle"	151	127	44	110	290	831	180	108	39	73	23
"03014203 Etterstad"	181	199	57	63	163	865	232	113	35	121	37
"03014204 Helsfyr"	0	0	0	0	0	5	3	3	0	0	0
"03014205 Teisen"	143	172	63	114	356	996	305	116	46	117	59
"03014206 Søndre Fjellhus"	76	157	56	85	90	384	193	88	32	59	27
"03014207 Alnabru"	21	36	10	20	29	146	90	35	12	21	6
"03014208 Nordre Fjellhus"	136	178	56	121	242	694	225	87	57	89	41
"03014209 Nordre Hovin"	36	20	5	58	129	225	27	8	0	6	0
"03014210 Brynseng"	163	209	68	83	136	751	268	210	89	223	66
"03014211 Ensjø øst"	153	110	24	84	249	618	99	46	11	37	3
"03014212 Ensjø vest"	121	102	32	85	277	673	137	68	30	41	13
"03014213 Ensjø nord"	392	284	60	229	593	1567	207	118	40	74	23
"03014214 Ensjø sør"	159	147	32	81	171	619	166	67	29	89	54
"03014301 Aker sykehus"	125	240	66	101	162	797	230	89	20	41	19
"03014302 Løren"	0	0	0	0	0	0	0	0	0	0	0
"03014303 Frydenberg"	0	0	0	0	0	0	0	0	0	0	0
"03014304 Søndre Hovin"	102	89	22	45	178	572	132	64	21	48	22
"03014305 Lille Tøyen"	0	0	0	0	0	0	0	0	0	0	0
"03014306 Nordre Sinsen"	34	63	21	50	45	171	55	31	12	24	11
"03014307 Økern senter"	0	0	0	0	0	5	0	0	0	0	0
"03014308 Løren øst"	310	187	35	159	426	1133	128	101	33	83	31
"03014309 Løren vest"	148	127	27	54	188	644	106	64	30	59	15
"03014310 Frydenberg øst"	388	181	66	212	542	1367	160	103	30	56	10
"03014311 Frydenberg nord"	254	220	57	166	425	1047	196	145	49	105	34
"03014312 Frydenberg vest"	48	117	48	35	40	215	134	34	25	40	16
"03014313 Lillen Tøyen nord"	154	137	24	22	76	592	145	64	32	69	21
"03014314 Lille Tøyen vest"	134	197	73	62	60	491	164	66	19	29	12
"03014315 Lille Tøyen øst"	246	311	56	72	173	907	182	84	35	89	23
"03014401 Frysjå"	28	61	21	15	15	119	47	47	18	56	19
"03014402 Kjelsås"	185	377	146	142	112	706	359	160	38	122	73
"03014403 Grefsenplatået"	180	340	127	165	107	643	337	168	53	141	58
"03014404 Nydalen"	0	0	0	0	0	0	0	0	0	0	0
"03014405 Lillo terrasse"	102	120	36	89	165	447	150	66	32	83	67
"03014406 Grefsen"	78	184	67	51	52	324	150	76	34	175	179
"03014407 Disen"	125	258	89	79	121	569	240	100	37	84	51
"03014408 Lofthus"	64	209	85	80	54	309	222	109	22	84	44
"03014409 Myrer"	71	205	77	72	52	320	161	77	28	83	82
"03014410 Rønningen"	68	145	49	43	30	225	101	69	27	46	18
"03014411 Brekke"	223	188	71	100	212	789	197	120	45	95	40
"03014412 Nordre Åsen"	40	44	15	14	44	168	51	15	12	31	8
"03014413 Brekkestranda"	53	105	40	42	31	209	114	95	32	103	42
"03014414 Nordre Grefsen"	56	122	56	64	64	260	135	60	20	55	30
"03014415 Storo"	65	154	65	70	55	398	173	86	25	66	30
"03014416 Akebakkeskogen"	77	157	47	46	55	313	168	99	43	118	64
"03014417 Grefsenlia"	117	207	61	75	126	537	244	229	85	265	142
"03014418 Myrerskog"	112	214	71	77	107	504	249	115	50	151	55
"03014419 Nydalen vest"	43	66	32	180	215	410	86	58	18	53	21
"03014420 Nydalen øst"	127	92	48	346	332	595	108	64	17	57	20
"03014501 Kringsjå"	97	168	66	78	169	501	196	147	40	142	118
"03014502 Langmyr"	130	267	130	107	64	418	249	105	44	103	125
"03014503 Sogn"	62	179	77	62	53	267	166	86	25	67	32
"03014504 Nordberg"	67	155	69	51	32	240	131	93	24	79	52
"03014505 Ullevål Hageby"	166	458	169	188	130	687	423	182	68	153	57
"03014506 Berg"	74	183	60	49	42	318	158	86	21	76	47
"03014507 Nygård"	184	360	105	117	113	678	284	133	45	130	75
"03014508 Havnajordet"	100	198	87	78	95	387	209	117	34	83	52
"03014509 Korsvoll"	161	361	129	128	93	578	291	139	61	122	46
"03014510 Nordre Ullevål"	72	159	66	47	16	209	149	67	14	41	20
"03014511 Ullevål stadion"	117	150	84	414	336	504	147	73	27	58	22
"03014512 Tåsen"	55	170	51	55	50	267	138	64	27	81	55
"03014513 Bakke"	116	76	30	134	141	448	109	61	26	63	21
"03014601 Vettakollen"	168	310	116	113	101	575	231	130	53	154	63
"03014602 Slemdal"	197	314	99	86	106	616	227	176	61	226	105
"03014603 Risbakken"	140	212	74	132	119	464	211	135	54	147	83
"03014604 Vindern"	63	115	34	42	59	288	98	51	26	78	85
"03014605 Blindern"	3	3	11	150	117	42	14	3	0	7	7
"03014606 Vestgrenda"	108	232	73	119	115	449	223	140	60	133	64
"03014607 Solvang"	63	69	27	58	70	216	76	58	34	135	50
"03014608 Sognsvann"	168	64	51	720	642	505	7	7	0	0	0
"03014609 Gaustad"	56	116	30	28	52	255	114	85	35	86	42
"03014610 Vestre Solvang"	29	72	13	21	10	99	40	23	8	22	8
"03014611 Gråkammen"	135	182	47	66	62	389	134	116	44	108	55
"03014701 Frøen"	81	177	69	74	98	344	191	108	31	133	59
"03014702 Heggeli"	108	227	99	106	82	440	214	123	58	186	81
"03014703 Smestad"	70	172	64	68	92	320	146	82	41	155	109
"03014704 Volvat"	62	107	63	87	98	300	152	79	23	87	120
"03014705 Grimelund"	121	143	50	68	77	338	146	96	42	97	53
"03014706 Nordre Skøyen"	84	241	97	72	71	347	221	117	43	114	87
"03014801 Persbråten"	96	187	50	70	67	393	143	66	22	71	23
"03014802 Husebyskogen"	0	0	0	0	0	0	0	0	0	0	0
"03014803 Husebybakken"	82	152	69	64	79	337	194	158	50	206	106
"03014804 Montebello"	59	96	60	61	96	317	167	76	23	74	36
"03014805 Smestaddammen"	107	174	66	53	90	474	186	139	51	181	101
"03014806 Abbedikollen"	74	108	33	42	52	284	127	66	39	103	46
"03014901 Hovseter"	67	110	28	31	88	360	108	60	29	103	55
"03014902 Holmensletta"	52	61	20	18	51	224	70	34	14	89	58
"03014903 Vestre Holmen"	209	357	117	82	101	671	242	114	40	103	70
"03014904 Østre Holmen"	171	312	120	114	97	565	245	110	27	110	47
"03014905 Svenstua"	161	282	101	88	81	566	217	114	57	156	54
"03014906 Løkkaskogen"	144	219	79	58	79	442	189	128	69	203	95
"03014907 Lybekk"	146	233	76	87	72	517	221	155	66	171	79
"03014908 Gressbanen"	24	42	15	13	8	77	29	16	3	21	3
"03014909 Holmenbekken"	11	23	11	3	8	36	11	14	0	3	0
"03014910 Hamborg"	70	108	40	40	64	252	96	59	25	73	83
"03014911 Jarbakken"	148	168	63	51	90	436	149	93	36	145	65
"03014912 Arnebråten"	165	342	82	77	129	664	256	120	53	96	70
"03015001 Lillevann"	116	243	88	105	57	408	256	121	51	130	41
"03015002 Østre Liaskogen"	22	47	15	20	7	78	35	23	9	23	10
"03015003 Besserud"	133	285	90	79	80	518	265	151	78	228	104
"03015004 Voksenåsen"	192	242	51	41	37	489	143	55	27	45	8
"03015005 Vestre Liaskogen"	67	155	74	78	50	301	169	95	31	95	34
"03015006 Bogstad"	0	3	3	0	6	20	7	3	0	0	0
"03015007 Skogen"	39	66	11	15	15	145	71	44	23	37	7
"03015008 Grindbakken"	136	154	46	62	122	542	278	252	128	383	145
"03015101 Venner"	7	19	13	10	9	59	33	27	10	20	12
"03015102 Lyse"	6	9	3	0	6	24	13	15	3	13	3
"03015103 Sørkedalen øst"	13	49	20	15	15	87	39	44	11	20	10
"03015201 Voksen"	134	236	105	84	77	455	239	108	41	133	59
"03015202 Sørsletta"	140	294	97	113	75	526	258	124	47	126	70
"03015203 Røahagan"	146	234	105	94	73	531	207	122	51	179	131
"03015204 Røa"	103	259	71	81	54	404	203	96	37	126	76
"03015205 Mosekollen"	0	0	0	0	0	0	0	0	0	0	0
"03015206 Rolighet"	133	247	76	55	75	484	198	106	42	157	54
"03015207 Ullerntoppen"	71	108	31	24	44	283	156	149	56	191	83
"03015208 Ullernåsen"	77	169	52	65	42	304	160	90	42	120	48
"03015209 Myrhaugen"	81	114	41	48	39	275	113	70	32	104	54
"03015210 Åsjordet"	81	122	50	59	96	358	194	154	82	281	170
"03015211 Mosekollen vest"	88	231	71	89	62	396	210	103	53	182	96
"03015212 Mosekollen øst"	115	93	32	55	139	467	133	64	25	86	44
"03015301 Lysehagan"	52	157	52	44	46	264	139	65	19	63	46
"03015302 Øraker"	154	257	98	120	117	586	286	142	45	133	42
"03015303 Lysaker"	118	250	85	92	165	631	260	143	42	174	87
"03015401 Bjørnsletta"	152	215	54	68	125	638	220	107	63	300	216
"03015402 Furulund"	109	226	97	96	77	416	234	134	57	150	118
"03015403 Sollerud"	172	292	94	77	88	600	224	134	54	169	56
"03015404 Hoff"	0	0	0	0	0	0	0	0	0	0	0
"03015405 Bestum"	131	220	71	69	71	495	181	131	42	105	49
"03015406 Vækerø"	8	15	3	6	7	37	28	10	3	3	3
"03015407 Hoff sør"	53	71	33	37	27	170	90	39	14	31	13
"03015408 Hoff nord"	224	176	60	106	275	897	254	156	64	203	99
"03015501 Amalienborg"	80	133	57	32	63	358	163	101	46	168	86
"03015502 Madserud"	67	83	26	58	89	299	118	78	35	99	69
"03015503 Søndre Skøyen"	144	300	91	78	52	505	203	144	46	115	23
"03015504 Sjølyst"	85	86	42	66	188	577	206	144	62	176	60
"03015601 Kongsgården"	14	26	10	9	10	66	27	19	7	9	8
"03015602 Grande"	89	232	85	65	66	367	226	164	55	217	144
"03015603 Fredriksborg"	132	262	117	96	95	465	286	141	51	150	75
"03015701 Øyene"	0	0	0	0	0	0	4	3	0	0	0
"03015801 Nordre Østmarka"	0	0	0	0	0	0	0	3	0	0	0
"03015802 Østmarksetra"	0	0	0	0	0	0	0	0	0	3	0
"03015803 Mariholtet"	0	0	0	0	0	0	3	0	0	0	0
"03015804 Rustadsaga"	0	0	3	0	0	3	7	3	0	3	3
"03015805 Søndre Østmarka"	3	3	0	6	3	20	4	3	3	3	0
"03015901 Solemskogen"	19	23	12	10	14	51	36	20	12	10	3
"03015902 Alnsjøen"	0	0	0	0	0	0	0	3	0	0	0
"03016001 Tryvann"	0	7	0	0	0	9	3	3	0	0	0
"03016002 Maridalen"	10	31	8	14	14	77	49	31	9	16	6
"03016003 Skjennungen"	0	3	0	0	0	0	0	0	0	0	0
"03016004 Kobberhaugene"	0	0	0	0	3	6	3	3	0	3	0
"03016005 Nordre Nordmarka"	0	0	0	3	0	6	6	3	0	0	0
"03016006 Kikut"	0	0	0	0	0	0	3	0	0	0	0
"03016007 Movatn"	27	59	12	15	9	99	72	38	23	21	4
"03019999 Unknown basic statistical unit"	100	187	45	60	104	621	236	86	26	32	25
