"region"	"Persons 2022 0-5 years"	"Persons 2022 6-15 years"	"Persons 2022 16-19 years"	"Persons 2022 20-24 years"	"Persons 2022 25-29 years"	"Persons 2022 30-49 years"	"Persons 2022 50-59 years"	"Persons 2022 60-66 years"	"Persons 2022 67-69 years"	"Persons 2022 70-79 years"	"Persons 2022 80 years or older"
"03010911 Majorstuen rode 11"	80	113	28	82	153	401	129	98	25	142	68
"03010912 Majorstuen rode 12"	57	52	23	81	184	364	119	69	31	57	21
"03010913 Majorstuen rode 13"	45	34	23	114	228	334	113	48	14	36	13
"03011001 Marienlyst"	57	109	27	181	216	411	98	74	33	98	54
"03011101 Fagerborg rode 1"	27	22	18	151	210	310	76	34	11	24	9
"03011102 Fagerborg rode 2"	35	63	19	42	93	276	100	64	21	94	44
"03011103 Fagerborg rode 3"	70	123	44	45	41	281	124	52	32	59	32
"03011104 Fagerborg rode 4"	50	61	22	83	224	407	118	39	11	29	15
"03011105 Fagerborg rode 5"	31	39	20	69	105	209	84	45	13	35	15
"03011106 Fagerborg rode 6"	40	38	17	88	164	332	91	44	13	43	6
"03011201 St.Hanshaugen rode 1"	52	34	39	207	323	501	126	60	17	38	8
"03011202 St.Hanshaugen rode 2"	60	54	22	123	195	406	115	42	14	22	7
"03011203 St.Hanshaugen rode 3"	81	88	23	131	206	452	109	47	22	47	15
"03011204 St.Hanshaugen rode 4"	82	53	37	206	371	645	138	65	18	60	26
"03011205 St.Hanshaugen rode 5"	42	38	9	88	173	275	54	32	9	25	12
"03011206 St.Hanshaugen rode 6"	41	49	16	122	212	358	86	30	15	39	7
"03011207 St.Hanshaugen rode 7"	82	67	27	121	267	468	117	44	17	25	14
"03011208 St.Hanshaugen rode 8"	58	88	38	96	148	393	116	53	14	54	28
"03011209 St.Hanshaugen rode 9"	63	105	52	84	136	329	156	106	28	106	52
"03011210 St.Hanshaugen rode 10"	0	0	0	0	0	0	0	0	0	0	0
"03011211 St.Hanshaugen rode 11"	27	9	13	78	103	141	44	13	8	28	10
"03011301 Gamle Aker rode 1"	32	34	11	41	122	277	73	41	10	30	30
"03011302 Gamle Aker rode 2"	45	27	12	146	291	425	93	47	17	44	19
"03011303 Gamle Aker rode 3"	145	151	70	301	477	840	149	77	16	53	17
"03011304 Gamle Aker rode 4"	22	21	8	147	332	471	78	32	7	14	3
